127.0.0.1 - - [25/May/2014:00:27:19 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:27 +0530] "GET /LMS/index.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:27 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:27 +0530] "GET /LMS/indexLoginCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/light2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/bground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/input.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/bground_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/KozGoPro-Light.otf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/BAUHS93.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/ARLRDBD.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:28 +0530] "GET /LMS/light.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:33 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:33 +0530] "GET /LMS/menuCss.css HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:33 +0530] "GET /LMS/headerCss.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:33 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:27:40 +0530] "GET /LMS/menu_drop_list1.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:29 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:29 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:29 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:29 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:29 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:33 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:33 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:33 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:33 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:36 +0530] "GET /LMS/logout HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:36 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:43 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:29:43 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:35:57 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:35:57 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:35:57 +0530] "GET /LMS/headerCss.css HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/May/2014:00:35:57 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:35:57 +0530] "GET /LMS/bground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:35:57 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:36:55 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:36:55 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:36:55 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:36:55 +0530] "GET /LMS/headerCss.css HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [25/May/2014:00:36:55 +0530] "GET /LMS/bground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:36:55 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:37:49 +0530] "POST /LMS/login HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [25/May/2014:00:37:49 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:37:49 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:37:49 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:37:49 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:04 +0530] "POST /LMS/login HTTP/1.1" 200 5302
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:04 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:04 +0530] "GET /LMS/menuCss.css HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:04 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:04 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:04 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:41:05 +0530] "GET /LMS/menu_drop_list1.png HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [25/May/2014:00:42:27 +0530] "POST /LMS/login HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [25/May/2014:00:42:27 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:42:27 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:42:27 +0530] "GET /LMS/headerCss.css HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [25/May/2014:00:42:27 +0530] "GET /LMS/bground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:42:27 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:44:42 +0530] "POST /LMS/login HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [25/May/2014:00:44:42 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:44:42 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:44:42 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:44:42 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:45:41 +0530] "GET /LMS/addStudent.jsp HTTP/1.1" 200 5835
0:0:0:0:0:0:0:1 - - [25/May/2014:00:45:41 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:45:41 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:45:41 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/addStudent.jsp HTTP/1.1" 200 5865
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/menuCss.css HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/addStudent.jsp HTTP/1.1" 200 5865
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:49 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:50 +0530] "GET /LMS/addStudent.jsp HTTP/1.1" 200 5865
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:50 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:50 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:50 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:50 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:50 +0530] "GET /LMS/menu_drop_list.png HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:51 +0530] "GET /LMS/adminHome.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:51:51 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:25 +0530] "GET /LMS/adminHome.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:25 +0530] "GET /LMS/menuCss.css HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:25 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:25 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:25 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:25 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:52 +0530] "GET /LMS/adminHome.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:52 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:52 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:52 +0530] "GET /LMS/menuCss.css HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:52 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:52 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/adminHome.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/adminHome.jsp HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:52:53 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:24 +0530] "GET /LMS/changeSelfPassword1.jsp HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:24 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:24 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:27 +0530] "GET /LMS/addEmployee.jsp HTTP/1.1" 200 5865
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:27 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:29 +0530] "GET /LMS/deleteStudent.jsp HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:30 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:00:53:30 +0530] "GET /favicon.ico HTTP/1.1" 404 988
