127.0.0.1 - - [01/Jun/2014:16:18:49 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/index.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/indexLoginCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/bground_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/input.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/bground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/light2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/KozGoPro-Light.otf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/ARLRDBD.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:02 +0530] "GET /LMS/BAUHS93.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:03 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:09 +0530] "GET /LMS/light.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:23 +0530] "POST /LMS/login HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:23 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:23 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:23 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:24 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:27 +0530] "GET /LMS/menu_drop_list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:33 +0530] "GET /LMS/issueBook.jsp HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:33 +0530] "GET /LMS/miscCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:54 +0530] "GET /LMS/logout HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:19:54 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:16:20:01 +0530] "POST /LMS/login HTTP/1.1" 200 4607
